id,good_ingredients,bad_ingredients
101,"['glycerin', 'panthenol', 'tocopherol']",[]
102,"['glycerin', 'tocopherol']",[]
103,"['glycerin', 'sodium hyaluronate', 'linoleic acid', 'palmitoyl hydroxypropyltrimonium amylopectin/glycerin crosspolymer', 'ethylhexyl glycerin']",['propylene glycol dicoco-caprylate']
104,"['glycerin', 'capryloyl glycerin/sebacic acid copolymer', 'tocopherol', 'hydrolyzed sodium hyaluronate']",[]
105,"['glycerin', 'capryloyl glycerin/sebacic acid copolymer', 'tocopherol', 'ethylhexyl glycerin']",[]
106,"['sodium hyaluronate', 'allantoin', 'glycerin', 'yeast amino acids', 'ethylhexyl glycerin']",[]
107,"['glycerin', 'sodium hyaluronate']",['propylene glycol dicoco-caprylate']
108,"['glycerin', 'allantoin', 'tocopherol']",[]
109,['glycerin'],[]
110,"['glycerin', 'sodium hyaluronate', 'ethylhexyl glycerin']",[]
111,"['glycerin', 'ethylhexyl glycerin', 'tocopherol']",[]
112,['glycerin'],[]
113,"['glycerin', 'allantoin']",[]
114,"['glycerin', 'niacinamide', 'tocopherol']",['dipropylene glycol']
115,"['glycerin', 'palmitoyl hydroxypropyltrimonium amylopectin/glycerin crosspolymer', 'linoleic acid', 'sodium hyaluronate', 'ethylhexyl glycerin']",[]
116,[],[]
117,"['glycerin', 'sodium hyaluronate', 'sodium hyaluronate', 'allantoin', 'ethylhexyl glycerin']",[]
118,[],[]
119,[],[]
120,"['ethylhexyl glycerin', 'sodium hyaluronate']",[]
121,"['ethylhexyl glycerin', 'sodium hyaluronate']",[]
122,"['sodium hyaluronate', 'sodium hyaluronate', 'panthenol', 'glycerin', 'ethylhexyl glycerin']",[]
123,['glycerin'],[]
124,['glycerin'],[]
125,"['peg/ppg/polybutylene glycol-8/5/3 glycerin', 'glycerin', 'sodium hyaluronate']",[]
126,"['glycerin', 'sodium hyaluronate', 'hydrolyzed sodium hyaluronate', 'tocopherol']",['propylene glycol']
127,"['glycerin', 'ethylhexyl glycerin']",['propylene glycol']
128,['sodium hyaluronate'],['propylene glycol dicoco-caprylate']
129,"['panthenol', 'sodium hyaluronate', 'ethylhexyl glycerin']",[]
130,"['glycerin', 'ethylhexyl glycerin', 'sodium hyaluronate']",['propylene glycol']
131,"['glycerin', 'tocopherol', 'titanium dioxide']",['benzophenone-4']
132,"['glycerin', 'ethylhexyl glycerin']",['propylene glycol']
133,"['glycerin', 'sodium hyaluronate', 'sodium hyaluronate', 'hydrolyzed sodium hyaluronate', 'ethylhexyl glycerin']",[]
134,"['glycerin', 'sodium hyaluronate', 'ethylhexyl glycerin', 'titanium dioxide']",[]
135,"['glycerin', 'retinol', 'niacinamide']",[]
136,"['linoleic acid', 'tocopherol']",[]
137,['retinol'],['propylene glycol dicaprylate']
138,"['glycerin', 'sodium hyaluronate', 'sodium hyaluronate', 'ethylhexyl glycerin']",[]
139,['glycerin'],[]
140,['glycerin'],[]
141,['sodium hyaluronate'],['propylene glycol dicoco-caprylate']
142,['retinol'],['propylene glycol dicaprylate']
143,"['peg/ppg/polybutylene glycol-8/5/3 glycerin', 'glycerin', 'sodium hyaluronate']",[]
144,"['glycerin', 'ethylhexyl glycerin']",[]
145,[],[]
146,['panthenol'],[]
147,['glycerin'],[]
148,"['glycerin', 'sodium hyaluronate', 'tocopherol']",[]
149,['titanium dioxide'],"['sodium laureth sulfate', 'propylene glycol', 'benzophenone-4']"
150,"['glycerin', 'hydrolyzed sodium hyaluronate']",[]
151,"['glycerin', 'sodium hyaluronate', 'sodium hyaluronate', 'panthenol', 'tocopherol']",[]
152,"['niacinamide', 'glycerin', 'ethylhexyl glycerin', 'tocopherol']",[]
153,"['glycerin', 'sodium hyaluronate', 'tocopherol']",[]
154,['tocopherol'],[]
155,"['glycerin', 'sodium hyaluronate']","['benzophenone-3', 'dipropylene glycol']"
156,"['glycerin', 'ethylhexyl glycerin', 'tocopherol']",[]
157,"['glycerin', 'sodium hyaluronate']",[]
158,"['glycerin', 'sodium hyaluronate', 'ethylhexyl glycerin']",['propylene glycol caprylate']
159,['retinol'],[]
160,"['niacinamide', 'tocopherol']",[]
161,"['glycerin', 'ethylhexyl glycerin', 'tocopherol', 'hydrolyzed sodium hyaluronate']",[]
162,"['glycerin', 'tocopherol']",[]
163,"['glycerin', 'sodium hyaluronate', 'tocopherol']",[]
164,"['glycerin', 'sodium hyaluronate', 'tocopherol', 'ethylhexyl glycerin']",[]
165,"['glycerin', 'niacinamide', 'sodium hyaluronate', 'titanium dioxide']",[]
166,"['glycerin', 'sodium hyaluronate', 'ethylhexyl glycerin']",[]
167,['tocopherol'],[]
168,['tocopherol'],[]
169,"['glycerin', 'tocopherol', 'sodium hyaluronate']",['propylene glycol']
170,"['glycerin', 'tocopherol', 'sodium hyaluronate']",['propylene glycol']
171,"['glycerin', 'tocopherol', 'sodium hyaluronate']",['propylene glycol']
172,"['glycerin', 'tocopherol', 'sodium hyaluronate']",['propylene glycol']
173,"['niacinamide', 'panthenol', 'ethylhexyl glycerin', 'glycerin', 'allantoin', 'sodium hyaluronate']",['dipropylene glycol']
174,"['glycerin', 'sodium hyaluronate']",['propylene glycol']
175,"['niacinamide', 'glycerin', 'ethylhexyl glycerin']",[]
176,['glycerin'],[]
177,"['glycerin', 'ethylhexyl glycerin']",[]
178,"['glycerin', 'sodium hyaluronate']",[]
179,"['niacinamide', 'glycerin', 'allantoin']",['propylene glycol']
180,"['glycerin', 'tocopherol']",[]
181,"['sodium hyaluronate', 'glycerin', 'ethylhexyl glycerin', 'titanium dioxide']",[]
182,"['linoleic acid', 'fish (pisces) collagen', 'glycerin', 'ethylhexyl glycerin', 'sodium hyaluronate', 'titanium dioxide']",['propylene glycol dicoco-caprylate']
183,['tocopherol'],[]
184,"['shea butter ethyl esters', 'retinol', 'sodium hyaluronate', 'yeast amino acids', 'glycerin', 'ethylhexyl glycerin', 'titanium dioxide']",[]
185,"['glycerin', 'ethylhexyl glycerin', 'hydrolyzed sodium hyaluronate', 'sodium hyaluronate', 'tocopherol']",[]
186,"['glycerin', 'sodium hyaluronate', 'tocopherol']",[]
187,"['glycerin', 'ethylhexyl glycerin']",[]
188,"['glycerin', 'ethylhexyl glycerin']",[]
189,"['glycerin', 'panthenol', 'sodium hyaluronate']",[]
190,"['glycerin', 'hydrolyzed sodium hyaluronate']",[]
191,"['glycerin', 'niacinamide', 'collagen amino acids']",[]
192,"['glycerin', 'sodium hyaluronate', 'ethylhexyl glycerin', 'linoleic acid', 'oleic acid', 'titanium dioxide']","['propylene glycol dicoco-caprylate', 'dipropylene glycol']"
193,"['glycerin', 'sodium hyaluronate', 'titanium dioxide']",[]
